key,impact_chosen,title,relevance
AZ-HM2002-Y2020,None,"Military sexual trauma; servicemembers. ","'Arizona' => 'Location', 'United States' => 'Location', 'Military' => 'Military', 'United States Department of Defense' => 'Military', 'Grant' => 'None'"
AZ-HR2001-Y2019,Jobs,"Supporting Israel; recognizing Jerusalem. ","'Bank' => 'Jobs', 'Israel' => 'Location', 'Arizona' => 'Location', 'United States' => 'Location', 'General' => 'None'"
AZ-HR2002-Y2020,None,"Harness racing; resumption. ","'Arizona' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None', 'State' => 'None'"
AZ-HR2003-Y2020,Environment,"Arizona water professionals; appreciation week. ","'Colorado River' => 'Environment', 'Water' => 'Environment', 'Profession' => 'Jobs', 'Arizona' => 'Location', 'Colorado' => 'Location'"
AZ-HR2004-Y2020,None,"Supporting the electoral college. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HR2005-Y2020,Jobs,"Small business day 2020. ","'Small business' => 'Jobs', 'Bus' => 'Transportation', 'Arizona' => 'Location', 'United States' => 'Location', 'Business' => 'None'"
AZ-HR2006-Y2020,Healthcare,"Honoring Bushmasters. ","'Infant' => 'Healthcare', 'Guard' => 'Safety', 'Bus' => 'Transportation', 'Japan' => 'Location', 'Arizona' => 'Location'"
AZ-HR2007-Y2020,Safety,"Death resolution; Leroy Tucker. ","'Death' => 'Safety', 'Mexico' => 'Location', 'New Mexico' => 'Location', 'Texas' => 'Location', 'Arizona' => 'Location'"
AZ-HR2008-Y2020,Jobs,"Terry Wheeler; death resolution. ","'Intern' => 'Jobs', 'Agriculture' => 'Jobs', 'College' => 'Education', 'School' => 'Education', 'University of Arizona' => 'Education'"
AZ-SB1001-Y2020,None,"Payment coupon books; homeowners- associations. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Fee' => 'None', 'Legislature' => 'None', 'Lien' => 'None'"
AZ-SB1002-Y2019,None,"Retail installment contracts; font size. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Requirement' => 'None', 'Section' => 'None'"
AZ-SB1003-Y2019,None,"Auto title loans; clear title. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'Senate' => 'None'"
AZ-SB1004-Y2019,None,"Interest rates; auto title loans. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Interest rate' => 'None', 'Interest' => 'None', 'Legislature' => 'None'"
AZ-SB1005-Y2019,None,"Auto title loans; interest rate. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'Senate' => 'None'"
AZ-SB1006-Y2019,None,"Multipurpose facilities districts; lobbying prohibited. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Pledge' => 'None', 'Report' => 'None'"
AZ-SB1007-Y2019,None,"Multipurpose facilities districts; debt prohibition. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Pledge' => 'None', 'Report' => 'None'"
AZ-SB1008-Y2019,None,"Multipurpose facilities districts; JCCR review. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Pledge' => 'None', 'Report' => 'None'"
AZ-SB1009-Y2019,None,"Multipurpose facilities districts; report; committees. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Pledge' => 'None', 'Section' => 'None'"
AZ-SB1010-Y2020,None,"Medical marijuana dispensaries; inspections. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Constitution' => 'None', 'Legislature' => 'None', 'Register' => 'None'"
AZ-SB1011-Y2019,None,"Gaming assistant director; senate confirmation. ","'Arizona' => 'Location', 'Arizona Senate' => 'None', 'Legislature' => 'None', 'Section' => 'None', 'Senate' => 'None'"
